method,param_name,param_value,auroc,auprc,time_sec
Density t-SNE,k_lambda,10_0.005,0.6259216710815351,0.11042785469308981,26.37664484977722
Density t-SNE,k_lambda,10_0.01,0.6177164766119654,0.10714330757684148,25.824151039123535
Density t-SNE,k_lambda,10_0.02,0.6263830113709782,0.11108590584923989,25.907070875167847
Density t-SNE,k_lambda,10_0.05,0.6288582988758238,0.11332978920502879,26.713361024856567
Density t-SNE,k_lambda,10_0.1,0.6301383415169918,0.11428655362273758,25.714768171310425
Density t-SNE,k_lambda,10_0.2,0.6228114097428609,0.11289890533548397,25.678274154663086
Density t-SNE,k_lambda,10_0.5,0.6276650730068485,0.11205324939963418,25.95941996574402
Density t-SNE,k_lambda,30_0.0001,0.651659815544644,0.11650746875827864,26.709997177124023
Density t-SNE,k_lambda,30_0.0002,0.6604384045096265,0.11918568432842777,26.425523042678833
Density t-SNE,k_lambda,30_0.0005,0.6644228905543352,0.12255797098563996,27.473716974258423
Density t-SNE,k_lambda,30_0.001,0.6225297599819098,0.10373055309546503,27.09581732749939
Density t-SNE,k_lambda,30_0.002,0.6101937023517251,0.10203621296328524,27.8503680229187
Density t-SNE,k_lambda,30_0.005,0.5866603001033726,0.09893566757075417,28.01941180229187
Density t-SNE,k_lambda,30_0.01,0.6294417883447474,0.11175939541042175,26.37886095046997
Density t-SNE,k_lambda,30_0.02,0.6203381412327174,0.10753193111137224,26.160857915878296
Density t-SNE,k_lambda,30_0.05,0.6222985850885127,0.10918998036370951,26.405346870422363
Density t-SNE,k_lambda,30_0.1,0.6261982733557308,0.11204570032636578,26.44526505470276
Density t-SNE,k_lambda,30_0.2,0.6328528798940432,0.11323238007628907,26.64964985847473
Density t-SNE,k_lambda,30_0.5,0.6291106732135934,0.11275817319994347,26.606444835662842
Density t-SNE,k_lambda,70_0.0001,0.621548528556661,0.11727246493399718,27.35379385948181
Density t-SNE,k_lambda,70_0.0002,0.6574997577206357,0.13940809147232053,27.41301989555359
Density t-SNE,k_lambda,70_0.0005,0.6327771675927123,0.12423814347882786,27.33108377456665
Density t-SNE,k_lambda,70_0.001,0.6545550539475384,0.1334824593941916,27.97518277168274
Density t-SNE,k_lambda,70_0.002,0.6238976288926218,0.11661298352572404,28.16495108604431
Density t-SNE,k_lambda,70_0.005,0.6343499644656933,0.12001506379188785,27.366453886032104
Density t-SNE,k_lambda,70_0.01,0.6207227597234786,0.11490870875228264,27.258660793304443
Density t-SNE,k_lambda,70_0.02,0.6394327836283757,0.12726752810205325,27.396998167037964
Density t-SNE,k_lambda,70_0.05,0.6429387679286729,0.13290305124282925,27.25428009033203
Density t-SNE,k_lambda,70_0.1,0.6400021401343843,0.12903557282957973,27.296559810638428
Density t-SNE,k_lambda,70_0.2,0.6387281544773227,0.12410520621234084,27.55159091949463
Density t-SNE,k_lambda,70_0.5,0.6365335072360769,0.1254754678333791,27.418127059936523
Density t-SNE,k_lambda,150_0.0001,0.6109407303915234,0.12034230716118127,29.13961672782898
Density t-SNE,k_lambda,150_0.0002,0.6124347864711203,0.1177300910468628,29.14451003074646
Density t-SNE,k_lambda,150_0.0005,0.6494591113192918,0.14406733402796343,30.721988916397095
Density t-SNE,k_lambda,150_0.001,0.6554928769866908,0.14881488891327943,32.966450929641724
Density t-SNE,k_lambda,150_0.002,0.6531064252487402,0.1430273021636385,29.16524887084961
Density t-SNE,k_lambda,150_0.005,0.6626320422535211,0.15117616528128922,29.106629848480225
Density t-SNE,k_lambda,150_0.01,0.630932815932291,0.1281418906592831,29.00770115852356
Density t-SNE,k_lambda,150_0.02,0.6476167786535728,0.13896938125986974,29.164219856262207
Density t-SNE,k_lambda,150_0.05,0.6738879377180516,0.14750700194258481,29.179097175598145
Density t-SNE,k_lambda,150_0.1,0.6683861771546712,0.14767798013184602,29.27031922340393
Density t-SNE,k_lambda,150_0.2,0.6653102387259336,0.14411033544108784,29.218747854232788
Density t-SNE,k_lambda,150_0.5,0.6558239921178447,0.13856616885762676,29.01776695251465
Density t-SNE,k_lambda,310_0.0001,0.6013484865615712,0.11606379211133669,32.7389190196991
Density t-SNE,k_lambda,310_0.0002,0.6225257219925057,0.12024900031617855,32.38759779930115
Density t-SNE,k_lambda,310_0.0005,0.6596126356764439,0.153195731259765,32.64953303337097
Density t-SNE,k_lambda,310_0.001,0.6518768574751259,0.15135741567714112,32.543604373931885
Density t-SNE,k_lambda,310_0.002,0.6470181467243831,0.14617262681880097,32.579883098602295
Density t-SNE,k_lambda,310_0.005,0.6308207617263214,0.14346037819709756,33.1462082862854
Density t-SNE,k_lambda,310_0.01,0.6714500016151956,0.159852236694909,32.85459613800049
Density t-SNE,k_lambda,310_0.02,0.6508784645949088,0.1591503921944487,32.92899298667908
Density t-SNE,k_lambda,310_0.05,0.6520484720248094,0.14282439420506968,32.61423182487488
Density t-SNE,k_lambda,310_0.1,0.6576683437782659,0.14914541331987408,32.377094984054565
Density t-SNE,k_lambda,310_0.2,0.6589261774777102,0.15045257840664752,32.456608057022095
Density t-SNE,k_lambda,310_0.5,0.6556685295257785,0.14977179221936837,32.55416703224182
