method,param_name,param_value,auroc,auprc,time_sec
PaCMAP,n_neighbors_MN,50_3.0,0.13831306871224988,0.1272819705589232,6.275052785873413
PaCMAP,n_neighbors_MN,50_7.0,0.14524915548457001,0.1278964619816533,11.30854606628418
PaCMAP,n_neighbors_MN,80_0.3,0.1145829818424496,0.1247080059936855,4.652507781982422
PaCMAP,n_neighbors_MN,80_0.5,0.11477653615575828,0.12472995017338186,4.813943147659302
PaCMAP,n_neighbors_MN,80_0.8,0.10969866452210363,0.12434711183746805,5.505141258239746
PaCMAP,n_neighbors_MN,80_1.5,0.10974927920936109,0.1243601758520512,6.85210108757019
PaCMAP,n_neighbors_MN,80_3.0,0.1124679440314036,0.12463106817493506,9.665252208709717
PaCMAP,n_neighbors_MN,80_7.0,0.1186375463499312,0.12523565900560732,18.317381858825684
PaCMAP,n_neighbors_MN,120_0.3,0.10576923076923075,0.12408567367103403,6.512458562850952
PaCMAP,n_neighbors_MN,120_0.5,0.10611252019900945,0.1240779732871596,7.080487251281738
PaCMAP,n_neighbors_MN,120_0.8,0.10708872754676234,0.12419000043529833,7.9171202182769775
PaCMAP,n_neighbors_MN,120_1.5,0.10548756940773317,0.12411649262622158,9.947041034698486
PaCMAP,n_neighbors_MN,120_3.0,0.10508405787320832,0.12403796811145523,14.537570238113403
PaCMAP,n_neighbors_MN,120_7.0,0.10849141050011062,0.1242738045617713,28.96271586418152
DensMAP,lambda_neighbors,0.1_10,0.6585493361977498,0.3468265893428072,6.601773262023926
DensMAP,lambda_neighbors,0.1_15,0.6354449031009931,0.3276988883642019,7.988006830215454
DensMAP,lambda_neighbors,0.1_30,0.6373553732177069,0.3363674932111198,11.34420132637024
DensMAP,lambda_neighbors,0.1_50,0.5457083431750781,0.2681932228461448,15.063260793685913
DensMAP,lambda_neighbors,0.1_70,0.47953010824044595,0.242691405223853,18.89330291748047
DensMAP,lambda_neighbors,0.1_90,0.48523363364714445,0.24486283656877103,21.67001700401306
DensMAP,lambda_neighbors,0.25_10,0.7111042531334241,0.40577449414588385,6.3599629402160645
DensMAP,lambda_neighbors,0.25_15,0.6589441776238092,0.35874259283849863,7.836028814315796
DensMAP,lambda_neighbors,0.25_30,0.7032798317342841,0.4017115468418257,11.238653898239136
DensMAP,lambda_neighbors,0.25_50,0.6387629770434273,0.33864970887277995,14.859121799468994
DensMAP,lambda_neighbors,0.25_70,0.5558209702273162,0.3147065910289516,18.371932983398438
DensMAP,lambda_neighbors,0.25_90,0.5687391975135065,0.3279550837790869,21.635174989700317
DensMAP,lambda_neighbors,0.5_10,0.7121228737144807,0.41221481336200694,6.469606876373291
DensMAP,lambda_neighbors,0.5_15,0.6705236932974906,0.37657858478364276,7.898500919342041
DensMAP,lambda_neighbors,0.5_30,0.7279802677704418,0.4209528632634647,11.338463068008423
DensMAP,lambda_neighbors,0.5_50,0.6713393864750057,0.37566163493523996,14.872222185134888
DensMAP,lambda_neighbors,0.5_70,0.6108262472771173,0.34664998611949577,18.387737274169922
DensMAP,lambda_neighbors,0.5_90,0.6021793372100435,0.3437704416422221,22.219386100769043
DensMAP,lambda_neighbors,1.0_10,0.719384441045137,0.4155577279324132,6.490222215652466
DensMAP,lambda_neighbors,1.0_15,0.6677808927680985,0.36375654709911387,8.005411148071289
